race_id,fp1_weather,fp2_weather,fp3_weather,qualifying_weather,race_weather,track_environment,setup_demand,track_length,driver_perf,team_perf,fp1_long_run,fp2_long_run,fp3_long_run,race_pace,relative_qualifying,relative_finish
25-02,0,0,0,0,0,2,1,0.33352683787503157,-0.7965717832471391,-0.3407284157720686,0.6157693714948337,0.6969345028713378,0.6213719497047374,0.29628562109337225,0.95,0.7
25-02,0,0,0,0,0,2,1,0.33352683787503157,0.20045248587588763,-0.5152239779538013,0.4982433605482062,0.5771998329910677,0.5069493182293467,0.3065463179907834,0.6,0.75
25-02,0,0,0,0,0,2,1,0.33352683787503157,-0.7965717832471391,-0.8642151023172658,0.5926246316866461,0.6733548054232845,0.5988383674591126,0.3101055787938384,0.45,0.8
25-02,0,0,0,0,0,2,1,0.33352683787503157,-0.7965717832471391,-0.3407284157720686,0.5895679897075123,0.6702407201636396,0.5958624388462588,1.0123238924143367,0.65,0.85
25-02,0,0,0,0,0,2,1,0.33352683787503157,-0.13188893716512123,-0.4279761968629349,0.47292738321606576,0.551408094088802,0.4823018319292259,0.2037870314615894,0.3,0.9
25-02,0,0,0,0,0,2,1,0.33352683787503157,-0.6304010717266345,-0.5733891653477119,0.5262554834210491,0.6057383859276477,0.5342217559348881,0.20609622757253448,0.25,0.95
25-02,0,0,0,0,0,2,1,0.33352683787503157,-0.7965717832471391,-0.8642151023172658,0.645094147554093,0.7268103776031265,0.6499223788148584,0.2505924402931545,0.8,1.0
25-03,0,0,0,0,0,2,0,0.7546472972217942,1.6959888895604278,0.4445016140457275,0.16516304237627993,0.22307022094368037,0.1543971067957007,-0.08605235901932042,0.05,0.05
25-03,0,0,0,0,0,2,0,0.7546472972217942,2.7760985144437065,2.1894572358630517,0.1519658416307153,0.24846432845791716,0.215780815370028,-0.08445236917718495,0.1,0.1
25-03,0,0,0,0,0,2,0,0.7546472972217942,1.4467328222796714,2.1545581234267055,0.35846652857163286,0.21209719071122674,0.13837069502863864,-0.08365854204443988,0.15,0.15
25-03,0,0,0,0,0,2,0,0.7546472972217942,-0.4642303602061301,-0.6460956495901004,0.2187181344340874,0.2393345938178714,0.2094393518913841,-0.06795320765860427,0.2,0.2
25-03,0,0,0,0,0,2,0,0.7546472972217942,1.6959888895604278,1.3169794249543898,0.07176091838993008,0.1427025331146785,0.09172852653615769,-0.06653086203857735,0.25,0.25
25-03,0,0,0,0,0,2,0,0.7546472972217942,0.8651353319579055,1.194832531427177,0.21637669559213213,0.4829098419817572,0.33177845084665103,-0.06505905492765832,0.3,0.3
25-03,0,0,0,0,0,2,0,0.7546472972217942,-0.7134864274868868,-0.3756275282084153,0.22135757458319963,0.2951105498610973,0.23737494917639113,-0.0532406786200807,0.4,0.35
25-03,0,0,0,0,0,2,0,0.7546472972217942,-0.7965717832471391,-0.8642151023172658,0.2354913508655459,0.20056032888580094,0.16533923985689,-0.04429965005497635,0.35,0.4
25-03,0,0,0,0,0,2,0,0.7546472972217942,0.5327939089168966,-0.12260896304490318,0.38764230397731314,0.2944166032851322,0.22499591509639333,-0.040664528435166325,0.45,0.45
25-03,0,0,0,0,0,2,0,0.7546472972217942,-0.4642303602061301,-0.2534806346812023,0.36490906140269586,0.28600250105155123,0.30290340512238223,-0.024741027159984805,0.5,0.5
25-03,0,0,0,0,0,2,0,0.7546472972217942,-0.7965717832471391,-0.4279761968629349,0.21457446882967124,0.3389014413341457,0.3276751509487052,-0.02158824446461311,0.65,0.55
25-03,0,0,0,0,0,2,0,0.7546472972217942,-0.7965717832471391,0.6189971762274599,0.22093185843011728,0.3049559169076078,0.25660657698090694,-0.020387402894764293,0.75,0.6
