race_id,fp1_weather,fp2_weather,fp3_weather,qualifying_weather,race_weather,track_environment,setup_demand,track_length,driver_perf,team_perf,fp1_long_run,fp2_long_run,fp3_long_run,race_pace,relative_qualifying,relative_finish
18-04,1,0,1,1,0,0,2,6.003,0.2933333333333333,0.2046511627906976,108.658,106.0505,107.189,112.774536,0.7222222222222222,0.3888888888888889
18-04,1,0,1,1,0,0,2,6.003,0.0,0.0,108.781,108.781,108.781,111.970975,0.6111111111111112,0.4444444444444444
18-04,1,0,1,1,0,0,2,6.003,0.04,0.2,111.586333,106.820333,109.231,111.444829,0.5555555555555556,0.2777777777777778
18-05,0,0,0,1,1,2,0,4.657,0.04,0.0372093023255813,83.171111,84.590222,81.752,88.666555,1.1176470588235294,0.6470588235294118
18-05,0,0,0,1,1,2,0,4.657,0.48,0.5116279069767442,78.4698666,78.02523330000001,77.92660000000001,93.94525,0.23529411764705882,1.0
18-05,0,0,0,1,1,2,0,4.657,0.01,0.1488372093023255,84.107181,83.211,80.7745,91.158675,0.7647058823529411,0.9411764705882353
18-05,0,0,0,1,1,2,0,4.657,0.08,0.1488372093023255,82.66875,83.230833,82.9497915,91.401909,0.6470588235294118,0.8823529411764706
18-05,0,0,0,1,1,2,0,4.657,0.0,0.0372093023255813,83.4382775,85.205555,81.671,91.070015,1.0588235294117647,0.8235294117647058
18-05,0,0,0,1,1,2,0,4.657,0.02,0.0790697674418604,84.873,84.461,83.191,88.94446,1.0,0.7647058823529411
18-05,0,0,0,1,1,2,0,4.657,0.01,0.0651162790697674,83.61925,84.431,84.025125,88.857396,1.1764705882352942,0.7058823529411765
18-05,0,0,0,1,1,2,0,4.657,0.08,0.0837209302325581,82.829333,83.896727,83.36303000000001,88.555857,0.8235294117647058,0.5882352941176471
18-05,0,0,0,1,1,2,0,4.657,0.28,0.1767441860465116,82.226,83.435,82.8305,88.010062,0.47058823529411764,0.47058823529411764
18-05,0,0,0,1,1,2,0,4.657,0.13,0.2232558139534883,83.475,83.64175,81.2184,87.953156,0.5294117647058824,0.4117647058823529
18-05,0,0,0,1,1,2,0,4.657,0.11,0.055813953488372,82.792166,82.602125,82.6971455,87.379828,0.4117647058823529,0.35294117647058826
18-05,0,0,0,1,1,2,0,4.657,0.37,0.4418604651162791,81.283285,81.283285,81.283285,86.51683,0.35294117647058826,0.29411764705882354
18-05,0,0,0,1,1,2,0,4.657,0.66,0.5720930232558139,82.0155,81.342,81.67875000000001,86.177092,0.17647058823529413,0.23529411764705882
18-05,0,0,0,1,1,2,0,4.657,0.18,0.3255813953488372,81.127666,81.688444,81.408055,86.164661,0.29411764705882354,0.17647058823529413
18-05,0,0,0,1,1,2,0,4.657,0.4,0.7116279069767442,81.836272,81.836272,81.836272,86.068846,0.11764705882352941,0.11764705882352941
18-05,0,0,0,1,1,2,0,4.657,0.7,0.6651162790697674,81.815666,81.652846,81.73425599999999,85.756646,0.058823529411764705,0.058823529411764705
18-05,0,0,0,1,1,2,0,4.657,0.15,0.1441860465116279,84.205857,81.722,80.924,88.510444,0.8823529411764706,0.5294117647058824
18-06,0,0,0,0,1,0,0,3.337,0.152,0.0790697674418604,81.862,76.483333,79.17266649999999,80.123461,0.95,0.65
18-06,0,0,0,0,1,0,0,3.337,0.064,0.1395348837209302,77.142,76.032181,76.58709049999999,80.195311,0.6,0.7
18-06,0,0,0,0,1,0,0,3.337,0.0,0.0744186046511627,75.894,77.003285,76.175,80.585064,0.75,0.75
18-06,0,0,0,0,1,0,0,3.337,0.0,0.0372093023255813,76.4716,76.5164,75.074,80.862701,0.65,0.8
18-06,0,0,0,0,1,0,0,3.337,0.256,0.1116279069767441,76.349,76.125444,76.237222,79.68798,0.35,1.0
18-06,0,0,0,0,1,0,0,3.337,0.072,0.0837209302325581,77.064857,76.663866,76.238,79.660742,0.7,0.9
18-06,0,0,0,0,1,0,0,3.337,0.008,0.0372093023255813,76.592666,76.657285,74.385,79.637271,0.8,0.95
18-06,0,0,0,0,1,0,0,3.337,0.136,0.1953488372093023,76.4125,76.505181,76.4588405,80.067538,0.45,0.6
18-06,0,0,0,0,1,0,0,3.337,0.032,0.0372093023255813,77.131888,76.71525,76.923569,81.677868,0.9,0.85
18-06,0,0,0,0,1,0,0,3.337,0.016,0.0837209302325581,77.5426,76.877875,76.249,80.059884,0.85,0.55
18-06,0,0,0,0,1,0,0,3.337,0.464,0.7488372093023256,76.645,75.873538,76.25926899999999,79.4055,0.25,0.25
18-06,0,0,0,0,1,0,0,3.337,0.264,0.3581395348837209,74.633,75.215125,74.92406249999999,79.488769,1.0,0.45
18-06,0,0,0,0,1,0,0,3.337,0.624,0.4790697674418605,76.014333,75.4495,75.7319165,79.258243,0.1,0.1
18-06,0,0,0,0,1,0,0,3.337,0.76,0.772093023255814,75.36725,75.658714,74.379,79.382307,0.15,0.15
18-06,0,0,0,0,1,0,0,3.337,0.384,0.5302325581395348,75.8005,75.632333,74.795666,79.396589,0.2,0.2
18-06,0,0,0,0,1,0,0,3.337,0.376,0.3953488372093023,74.461625,75.253142,74.8573835,79.164192,0.05,0.05
18-06,0,0,0,0,1,0,0,3.337,0.008,0.1581395348837209,76.7292,76.416615,76.5729075,79.467615,0.3,0.3
18-06,0,0,0,0,1,0,0,3.337,0.096,0.0093023255813953,77.01725,77.13125,76.605,79.476128,0.5,0.35
18-06,0,0,0,0,1,0,0,3.337,0.176,0.1953488372093023,76.64925,76.231571,75.546,79.482641,0.55,0.4
18-06,0,0,0,0,1,0,0,3.337,0.152,0.1720930232558139,75.936444,76.094222,74.698,80.048974,0.4,0.5
18-07,0,0,0,0,0,1,2,4.361,0.152,0.0744186046511627,77.7475,77.05725,77.402375,79.87555,0.6111111111111112,0.7222222222222222
18-07,0,0,0,0,0,1,2,4.361,0.176,0.0372093023255813,77.288,77.5345,77.41125,82.119675,0.7777777777777778,1.0
18-07,0,0,0,0,0,1,2,4.361,0.0,0.0186046511627906,78.236,78.103222,78.169611,80.86325,1.0,0.9444444444444444
18-07,0,0,0,0,0,1,2,4.361,0.048,0.0744186046511627,77.302,77.302,77.302,80.531941,0.8333333333333334,0.8888888888888888
18-07,0,0,0,0,0,1,2,4.361,0.016,0.013953488372093,77.1835,76.919666,77.051583,80.506705,1.0555555555555556,0.8333333333333334
18-07,0,0,0,0,0,1,2,4.361,0.136,0.1023255813953488,77.086642,77.086642,77.086642,79.847188,0.5555555555555556,0.7777777777777778
18-07,0,0,0,0,0,1,2,4.361,0.0,0.0744186046511627,77.6798,76.1525,76.91615,79.823608,1.1111111111111112,0.6666666666666666
18-07,0,0,0,0,0,1,2,4.361,0.144,0.0604651162790697,78.061,77.49725,77.779125,79.818086,0.8888888888888888,0.6111111111111112
18-07,0,0,0,0,0,1,2,4.361,0.568,0.5302325581395348,75.8895,76.2184,73.168,78.033257,0.05555555555555555,0.05555555555555555
18-07,0,0,0,0,0,1,2,4.361,0.072,0.1627906976744186,77.9396,76.946083,77.4428415,79.600956,0.4444444444444444,0.5
18-07,0,0,0,0,0,1,2,4.361,0.152,0.1488372093023255,76.569666,76.461,75.9454,79.579144,0.5,0.4444444444444444
18-07,0,0,0,0,0,1,2,4.361,0.16,0.1488372093023255,76.08275,77.2165,74.949,79.523985,0.3888888888888889,0.3888888888888889
18-07,0,0,0,0,0,1,2,4.361,0.36,0.5441860465116279,76.925666,75.608625,76.2671455,78.4245,0.2777777777777778,0.3333333333333333
18-07,0,0,0,0,0,1,2,4.361,0.736,0.7627906976744186,76.4128,76.0377,74.2996,78.339842,0.2222222222222222,0.2777777777777778
18-07,0,0,0,0,0,1,2,4.361,0.48,0.6093023255813953,76.496,75.238,74.952333,78.2849,0.3333333333333333,0.2222222222222222
18-07,0,0,0,0,0,1,2,4.361,0.216,0.4837209302325581,76.562428,75.179,75.87071399999999,78.117457,0.16666666666666666,0.16666666666666666
18-07,0,0,0,0,0,1,2,4.361,0.512,0.7488372093023256,76.635,76.1463,74.4645,78.115785,0.1111111111111111,0.1111111111111111
18-07,0,0,0,0,0,1,2,4.361,0.072,0.0465116279069767,77.819,77.359384,77.447,79.743927,0.7222222222222222,0.5555555555555556
18-08,0,0,1,1,1,2,2,5.842,0.0,0.013953488372093,97.472666,97.472666,97.472666,103.867509,0.8333333333333334,0.7222222222222222
18-08,0,0,1,1,1,2,2,5.842,0.008,0.055813953488372,97.6825,99.262555,98.4725275,103.16434,0.9444444444444444,0.7777777777777778
18-08,0,0,1,1,1,2,2,5.842,0.0,0.0,97.9635,98.832166,98.397833,104.309784,1.0555555555555556,0.8333333333333334
18-08,0,0,1,1,1,2,2,5.842,0.128,0.0,97.157,96.537,96.847,104.31202,0.8888888888888888,0.8888888888888888
18-08,0,0,1,1,1,2,2,5.842,0.016,0.0186046511627906,96.537,98.360666,97.448833,102.7289,1.0,0.6666666666666666
18-08,0,0,1,1,1,2,2,5.842,0.136,0.1023255813953488,96.495,98.805,97.65,106.242538,0.7222222222222222,1.0
18-08,0,0,1,1,1,2,2,5.842,0.032,0.0,97.029,99.196285,98.1126425,103.774978,1.1111111111111112,0.9444444444444444
18-08,0,0,1,1,1,2,2,5.842,0.0,0.0372093023255813,96.473666,96.07675,96.275208,103.186,0.5555555555555556,0.6111111111111112
18-08,0,0,1,1,1,2,2,5.842,0.696,0.6930232558139535,95.0795,94.988,95.03375,101.007615,0.05555555555555555,0.05555555555555555
18-08,0,0,1,1,1,2,2,5.842,0.144,0.1674418604651162,97.092,98.115444,97.603722,102.750788,0.6666666666666666,0.5
18-08,0,0,1,1,1,2,2,5.842,0.184,0.1674418604651162,95.844,98.367785,97.1058925,102.6945,0.3888888888888889,0.4444444444444444
18-08,0,0,1,1,1,2,2,5.842,0.512,0.6372093023255814,95.1895,95.1895,95.1895,102.665115,0.1111111111111111,0.3888888888888889
18-08,0,0,1,1,1,2,2,5.842,0.072,0.0372093023255813,96.87,97.34975,97.109875,102.54725,0.5,0.3333333333333333
18-08,0,0,1,1,1,2,2,5.842,0.568,0.7023255813953488,95.71,96.865111,100.596,102.315423,0.16666666666666666,0.2777777777777778
18-08,0,0,1,1,1,2,2,5.842,0.576,0.641860465116279,94.956,95.839333,95.3976665,101.687365,0.2777777777777778,0.2222222222222222
18-08,0,0,1,1,1,2,2,5.842,0.424,0.641860465116279,96.0575,95.866,111.22,101.497307,0.3333333333333333,0.16666666666666666
18-08,0,0,1,1,1,2,2,5.842,0.336,0.6186046511627907,95.958,95.37725,95.667625,101.148173,0.2222222222222222,0.1111111111111111
18-08,0,0,1,1,1,2,2,5.842,0.08,0.013953488372093,97.240333,98.7092,97.9747665,102.821038,0.4444444444444444,0.5555555555555556
18-09,1,1,1,1,0,2,1,4.318,0.0,0.0,69.681111,69.681111,69.681111,71.768971,0.9,0.65
18-09,1,1,1,1,0,2,1,4.318,0.032,0.0,69.098,69.722071,68.217,71.650579,0.75,0.7
18-09,1,1,1,1,0,2,1,4.318,0.016,0.0186046511627906,68.781,69.446384,67.975,72.752138,0.8,0.75
18-09,1,1,1,1,0,2,1,4.318,0.8,0.6651162790697674,68.106555,67.880571,65.816,69.92987,0.1,0.8
18-09,1,1,1,1,0,2,1,4.318,0.096,0.1488372093023255,68.427,69.239095,68.8330475,71.812181,0.5,1.0
18-09,1,1,1,1,0,2,1,4.318,0.472,0.6465116279069767,68.661714,68.661714,68.661714,70.269132,0.35,0.9
18-09,1,1,1,1,0,2,1,4.318,0.416,0.5488372093023256,68.3324,68.278111,68.3052555,69.786,0.05,0.95
18-09,1,1,1,1,0,2,1,4.318,0.2,0.1720930232558139,68.6362375,69.701142,67.571333,71.1763,0.45,0.6
18-09,1,1,1,1,0,2,1,4.318,0.008,0.0,69.674,69.819642,67.753,71.728611,0.95,0.85
18-09,1,1,1,1,0,2,1,4.318,0.048,0.027906976744186,69.138714,69.3665,69.252607,71.104571,0.6,0.55
18-09,1,1,1,1,0,2,1,4.318,0.4,0.6558139534883721,67.7045,68.592363,68.1484315,69.239774,0.25,0.05
18-09,1,1,1,1,0,2,1,4.318,0.088,0.0186046511627906,68.7095,69.171,67.329,71.0067,0.65,0.45
18-09,1,1,1,1,0,2,1,4.318,0.424,0.6790697674418604,68.6215,68.831692,68.15,69.260957,0.2,0.1
